Date,Price
11/2/2021,1606.75
11/1/2021,1605.3
10/29/2021,1582.85
10/28/2021,1593.6
10/27/2021,1642.8
10/26/2021,1652.75
10/25/2021,1657
10/22/2021,1680.75
10/21/2021,1676.3
10/20/2021,1673.85
10/19/2021,1688.7
10/18/2021,1670.3
10/14/2021,1687.4
10/13/2021,1639.4
10/12/2021,1629.6
10/11/2021,1633.8
10/8/2021,1602.65
10/7/2021,1610.5
10/6/2021,1614.9
10/5/2021,1595.45
10/4/2021,1585.75
10/1/2021,1582.7
9/30/2021,1594.95
9/29/2021,1593.85
9/28/2021,1615.05
9/27/2021,1625.1
9/24/2021,1601.55
9/23/2021,1570
9/22/2021,1533.7
9/21/2021,1551.95
9/20/2021,1559.85
9/17/2021,1582.15
9/16/2021,1559.95
9/15/2021,1546.8
9/14/2021,1548.55
9/13/2021,1555.55
9/9/2021,1568.6
9/8/2021,1576.4
9/7/2021,1569.25
9/6/2021,1565.7
9/3/2021,1576.05
9/2/2021,1589
9/1/2021,1579.1
8/31/2021,1581.4
8/30/2021,1568.25
8/27/2021,1548.45
8/26/2021,1554.8
8/25/2021,1557.4
8/24/2021,1558.85
8/23/2021,1524.6
8/20/2021,1514.75
8/18/2021,1513
8/17/2021,1514.65
8/16/2021,1530.6
8/13/2021,1526.2
8/12/2021,1501.4
8/11/2021,1494.95
8/10/2021,1507.65
8/9/2021,1503.9
8/6/2021,1492.65
8/5/2021,1484.85
8/4/2021,1465.3
8/3/2021,1434.7
8/2/2021,1422.65
7/30/2021,1426.45
7/29/2021,1418.25
7/28/2021,1417.3
7/27/2021,1439.75
7/26/2021,1434.55
7/23/2021,1442.75
7/22/2021,1448.7
7/20/2021,1443.15
7/19/2021,1471
7/16/2021,1522.35
7/15/2021,1520.7
7/14/2021,1499.15
7/13/2021,1501.85
7/12/2021,1487
7/9/2021,1502
7/8/2021,1520.45
7/7/2021,1539.5
7/6/2021,1534.7
7/5/2021,1495.45
7/2/2021,1480.4
7/1/2021,1486.75
6/30/2021,1497.9
6/29/2021,1502.05
6/28/2021,1508.35
6/25/2021,1515.1
6/24/2021,1506.25
6/23/2021,1485.5
6/22/2021,1483.8
6/21/2021,1488.7
6/18/2021,1479.8
6/17/2021,1466.1
6/16/2021,1484.6
6/15/2021,1490.25
6/14/2021,1479.45
6/11/2021,1486.35
6/10/2021,1481.05
6/9/2021,1480.3
6/8/2021,1483.05
6/7/2021,1499.85
6/4/2021,1500.95
6/3/2021,1520.55
6/2/2021,1504
6/1/2021,1511.7
5/31/2021,1515.85
5/28/2021,1503.45
5/27/2021,1482.65
5/26/2021,1477.05
5/25/2021,1478.95
5/24/2021,1509.95
5/21/2021,1497.3
5/20/2021,1432.8
5/19/2021,1458.2
5/18/2021,1476.7
5/17/2021,1440.25
5/14/2021,1386.85
5/12/2021,1399.5
5/11/2021,1403.55
5/10/2021,1419.85
5/7/2021,1414.75
5/6/2021,1400.9
5/5/2021,1402.6
5/4/2021,1388.35
5/3/2021,1414.45
4/30/2021,1412.3
4/29/2021,1472.5
4/28/2021,1476.8
4/27/2021,1438.7
4/26/2021,1404.8
4/23/2021,1414.15
4/22/2021,1422.5
4/20/2021,1391.4
4/19/2021,1412.4
4/16/2021,1428.65
4/15/2021,1430.1
4/13/2021,1400.35
4/12/2021,1367.05
4/9/2021,1421.75
4/8/2021,1432.8
4/7/2021,1447.2
4/6/2021,1440.25
4/5/2021,1449.6
4/1/2021,1486.75
3/31/2021,1493.65
3/30/2021,1553.7
3/26/2021,1491.3
3/25/2021,1463.35
3/24/2021,1478.8
3/23/2021,1500.15
3/22/2021,1469.15
3/19/2021,1497.5
3/18/2021,1491
3/17/2021,1495.35
3/16/2021,1512.15
3/15/2021,1528.65
3/12/2021,1551.95
3/10/2021,1555.75
3/9/2021,1562.5
3/8/2021,1519.5
3/5/2021,1530
3/4/2021,1552.05
3/3/2021,1586.85
3/2/2021,1568.2
3/1/2021,1558.9
2/26/2021,1534.4
2/25/2021,1606.4
2/24/2021,1606.45
2/23/2021,1529.15
2/22/2021,1548
2/19/2021,1539.1
2/18/2021,1554.3
2/17/2021,1586.5
2/16/2021,1626.65
2/15/2021,1616.6
2/12/2021,1581.95
2/11/2021,1572.35
2/10/2021,1581.75
2/9/2021,1611.85
2/8/2021,1605.25
2/5/2021,1597.6
2/4/2021,1579.1
2/3/2021,1574.8
2/2/2021,1560.55
2/1/2021,1476.75
1/29/2021,1390.5
1/28/2021,1371.45
1/27/2021,1409.6
1/25/2021,1462.85
1/22/2021,1443.55
1/21/2021,1474.8
1/20/2021,1492
1/19/2021,1503.85
1/18/2021,1483.1
1/15/2021,1466.65
1/14/2021,1468.75
1/13/2021,1470.65
1/12/2021,1481
1/11/2021,1451.45
1/8/2021,1431.65
1/7/2021,1416.25
1/6/2021,1420.55
1/5/2021,1426.7
1/4/2021,1416
1/1/2021,1425.05
12/31/2020,1436.3
12/30/2020,1432.5
12/29/2020,1427.2
12/28/2020,1412.85
12/24/2020,1397.1
12/23/2020,1375.65
12/22/2020,1373.1
12/21/2020,1372.65
12/18/2020,1411.35
12/17/2020,1441.8
12/16/2020,1410.7
12/15/2020,1391.3
12/14/2020,1372.15
12/11/2020,1382.8
12/10/2020,1385.85
12/9/2020,1407.2
12/8/2020,1376.3
12/7/2020,1372.25
12/4/2020,1385.6
12/3/2020,1377.2
12/2/2020,1406.95
12/1/2020,1433.3
11/27/2020,1440.85
11/26/2020,1426.65
11/25/2020,1402.8
11/24/2020,1438.2
11/23/2020,1394.6
11/20/2020,1403.65
11/19/2020,1374.35
11/18/2020,1408.7
11/17/2020,1408.45
11/14/2020,1369.7
11/13/2020,1358.8
11/12/2020,1371.7
11/11/2020,1389.95
11/10/2020,1393.65
11/9/2020,1340.55
11/6/2020,1307.65
11/5/2020,1269.2
11/4/2020,1257.4
11/3/2020,1247.95
11/2/2020,1215.25
10/30/2020,1183.55
10/29/2020,1187.2
10/28/2020,1209.6
10/27/2020,1233.1
10/26/2020,1210.9
10/23/2020,1235.8
10/22/2020,1233.3
10/21/2020,1246.7
10/20/2020,1223.95
10/19/2020,1203.55
10/16/2020,1199.35
10/15/2020,1169.25
10/14/2020,1211.5
10/13/2020,1198.45
10/12/2020,1213.65
10/9/2020,1233.55
10/8/2020,1191.8
10/7/2020,1162.25
10/6/2020,1144.1
10/5/2020,1114.35
10/1/2020,1106.95
9/30/2020,1078.6
9/29/2020,1062.55
9/28/2020,1054.2
